0	21
50	21
100	20
150	22
200	23
250	26
300	26
350	29
400	31
450	35
500	38
550	41
600	45
650	51
700	54
750	59
800	65
850	71
900	77
950	86
1000	93
1050	102
1100	111
1150	120
1200	130
1250	141
1300	150
1350	164
1400	174
1450	185
1500	198
1550	213
1600	226
1650	240
1700	272
1750	277
1800	284
1850	300
1900	313
1950	343
2000	361
2050	364
2100	383
2150	410
2200	418
2250	442
2300	456
2350	477
2400	496
2450	521
2500	562
2550	565
2600	588
2650	602
2700	627
2750	649
2800	747
2850	734
2900	916
2950	1035
3000	810
3050	815
3100	830
3150	857
3200	969
3250	943
3300	936
3350	977
3400	989
3450	1041
3500	1059
3550	1080
3600	1116
3650	1141
3700	1169
3750	1217
3800	1267
3850	1273
3900	1436
3950	1479
4000	1370
4050	1404
4100	1438
4150	1517
4200	1567
4250	1555
4300	1602
4350	1639
4400	1655
4450	1731
4500	1759
4550	1800
4600	1824
4650	1843
4700	1887
4750	1923
4800	1975
4850	2014
4900	2078
4950	2102
5000	2132
5050	2171
5100	2221
5150	2254
5200	2325
5250	2359
5300	2415
5350	2460
5400	2489
5450	2667
5500	2735
5550	2743
5600	2671
5650	2707
5700	2839
5750	2862
5800	3447
5850	3011
5900	2954
5950	3004
6000	3862
6050	3170
6100	3183
6150	3321
6200	3315
6250	3413
6300	3399
6350	3830
6400	3494
6450	3530
6500	3588
6550	3636
6600	3692
6650	3747
6700	3811
6750	3862
6800	3926
6850	3979
6900	4048
6950	4099
7000	4249
7050	4256
7100	4296
7150	4350
7200	4425
7250	4476
7300	4555
7350	4583
7400	4650
7450	4711
7500	5048
7550	4948
7600	4902
7650	4963
7700	5032
7750	5255
7800	5167
7850	5229
7900	5298
7950	5372
8000	5436
8050	5496
8100	5852
8150	6752
8200	5761
8250	5789
8300	5869
8350	5929
8400	6003
8450	6048
8500	6141
8550	6236
8600	6273
8650	6353
8700	6464
8750	6507
8800	6647
8850	6673
8900	6735
8950	6799
9000	6863
9050	6938
9100	7017
9150	7092
9200	7434
9250	7355
9300	7367
9350	7415
9400	7501
9450	7576
9500	7660
9550	7745
9600	7817
9650	7917
9700	8116
9750	8111
9800	8141
9850	8222
9900	8308
9950	8390
10000	8500
