0	0
50	2
100	8
150	20
200	36
250	58
300	82
350	110
400	144
450	193
500	226
550	273
600	321
650	373
700	441
750	511
800	582
850	671
900	760
950	849
1000	938
1050	1035
1100	1139
1150	1246
1200	1349
1250	1467
1300	1584
1350	1711
1400	1835
1450	1983
1500	2160
1550	2253
1600	2397
1650	2560
1700	2718
1750	2873
1800	3046
1850	3205
1900	3382
1950	3561
2000	3749
2050	3935
2100	4141
2150	4327
2200	4533
2250	4741
2300	4969
2350	5184
2400	5395
2450	5623
2500	5868
2550	6106
2600	6326
2650	6573
2700	6845
2750	7076
2800	7356
2850	7600
2900	7899
2950	8139
3000	8466
3050	8706
3100	8996
3150	9282
3200	9854
3250	9952
3300	10709
3350	10504
3400	10851
3450	11144
3500	11461
3550	11796
3600	12196
3650	12491
3700	13149
3750	13385
3800	13524
3850	14107
3900	14575
3950	14635
4000	15057
4050	15348
4100	15719
4150	16199
4200	16494
4250	16949
4300	17588
4350	17697
4400	18106
4450	18516
4500	19125
4550	19371
4600	19796
4650	20232
4700	20653
4750	21116
4800	21767
4850	21992
4900	22533
4950	22928
5000	23647
5050	24037
5100	24349
5150	24920
5200	25658
5250	26039
5300	26322
5350	26919
