0	0
50	0
100	1
150	3
200	5
250	8
300	12
350	17
400	21
450	27
500	33
550	40
600	49
650	56
700	66
750	76
800	93
850	111
900	134
950	154
1000	174
1050	188
1100	205
1150	223
1200	244
1250	264
1300	286
1350	308
1400	331
1450	355
1500	381
1550	406
1600	433
1650	462
1700	489
1750	518
1800	549
1850	582
1900	611
1950	644
2000	677
2050	711
2100	747
2150	781
2200	818
2250	857
2300	895
2350	934
2400	974
2450	1012
2500	1056
2550	1098
2600	1145
2650	1187
2700	1230
2750	1279
2800	1326
2850	1388
2900	1420
2950	1469
3000	1521
3050	1570
3100	1625
3150	1675
3200	1729
3250	1782
3300	1837
3350	1896
3400	1962
3450	2009
3500	2079
3550	2126
3600	2191
3650	2252
3700	2309
3750	2372
3800	2439
3850	2500
3900	2567
3950	2631
4000	2700
4050	2767
4100	2841
4150	2907
4200	2986
4250	3050
4300	3118
4350	3192
4400	3291
4450	3344
4500	3422
4550	3493
4600	4081
4650	3662
4700	3728
4750	3892
4800	3894
4850	4161
4900	4060
4950	4140
5000	4225
5050	4306
5100	4389
5150	4483
5200	4569
5250	4651
5300	4735
5350	4826
5400	4926
5450	5012
5500	5111
5550	5210
5600	5292
5650	5382
5700	5485
5750	5736
5800	5745
5850	5850
5900	5926
5950	5984
6000	6116
6050	6176
6100	6368
6150	6399
6200	6598
6250	6651
6300	6899
6350	6802
6400	6905
6450	7010
6500	7124
6550	7227
6600	7344
6650	7452
6700	7538
6750	7645
6800	7763
6850	7892
6900	7993
6950	8106
7000	8221
7050	8435
7100	8713
7150	8633
7200	8886
7250	9001
7300	8961
7350	9075
7400	9195
7450	9327
7500	9443
7550	9591
7600	9711
7650	10151
7700	10033
7750	10151
7800	10282
7850	10372
7900	10483
7950	10633
8000	10793
8050	11268
8100	11052
8150	11360
8200	11310
8250	11637
8300	11705
8350	11902
