100 11906.604594
200 9435.475501
300 7519.927809
400 6330.075454
500 5435.609767
600 4662.387421
700 4125.014306
800 3667.214012
900 3279.096383
1000 2945.713291
1100 2686.968204
1200 2473.018227
1300 2268.995372
1400 2079.912425
1500 1945.564015
1600 1811.224617
1700 1686.818928
1800 1572.373986
1900 1482.808379
2000 1403.194507
2100 1308.653033
2200 1243.966761
2300 1189.232224
2400 1119.570085
2500 1059.859681
2600 1034.980345
2700 985.221675
2800 940.438871
2900 900.631935
3000 865.800866
3100 830.973931
3200 796.138727
3300 767.440709
3400 746.380057
3500 721.504312
3600 691.645519
3700 668.419411
3800 641.886849
3900 623.858117
4000 599.101842
4100 574.345568
4200 557.299882
4300 542.372207
4400 527.444531
4500 512.514306
4600 492.610837
4700 477.683236
4800 472.709721
4900 467.733830
5000 450.564195
5100 442.854371
5200 427.926695
5300 417.974912
5400 406.002901
5500 396.100392
5600 391.149137
5700 374.441417
5800 369.514556
5900 363.240102
6000 353.288318
6100 344.880253
6200 338.360643
6300 326.782823
6400 318.457075
6500 310.392227
6600 302.026549
6700 293.577616
6800 287.172784
6900 283.624422
7000 283.625833
7100 285.757924
7200 278.649941
7300 270.977341
7400 268.698157
7500 263.722266
7600 257.465255
7700 251.269898
7800 247.562745
7900 243.818698
8000 238.842807
8100 236.489316
8200 231.562455
8300 226.635595
8400 222.806470
8500 218.939239
8600 213.963348
8700 208.987456
8800 203.915171
8900 202.001291
9000 199.034682
9100 194.058815
9200 193.097985
9300 196.108232
9400 194.059780
9500 190.272675
9600 188.147686
9700 185.394793
9800 182.292950
9900 181.400115
10000 176.497409
